Water Control Zone,Station,Latitude,Longitude,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),Faecal Coliforms (cfu/100mL),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Total Inorganic Nitrogen (mg/L),Total Nitrogen (mg/L),Turbidity (NTU),Volatile Suspended Solids (mg/L)
Tolo Harbour and Channel,TM2,22.4124,114.218083,4/5/2017,1,Surface Water,1.6,0.053,0.7,7.4,2,0.004,0,29.9,0.12,0.34,2.5,2.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,4/5/2017,1,Bottom Water,1.5,0.062,0.9,6.6,3,0.003,0,30.3,0.13,0.4,0.5,1.6
Tolo Harbour and Channel,TM2,22.4124,114.218083,5/19/2017,1,Surface Water,2.7,0.059,4.1,7.7,10,0.003,3.8,28.5,0.11,0.4,2.5,2.7
Tolo Harbour and Channel,TM2,22.4124,114.218083,5/19/2017,1,Bottom Water,1.3,0.032,2.3,6.9,3,0,0.5,29.2,0.05,0.28,0.6,0.6
Tolo Harbour and Channel,TM2,22.4124,114.218083,6/14/2017,1,Surface Water,1,0.082,1.4,4.6,12000,0.003,1.2,29.1,0.16,0.36,2.5,1.4
Tolo Harbour and Channel,TM2,22.4124,114.218083,6/14/2017,1,Bottom Water,0.9,0.061,1.6,4.7,2900,0.009,0.4,31.4,0.09,0.31,0.7,0.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,7/12/2017,1,Surface Water,3.8,0.023,6.4,5.6,8,0,1.4,26.8,0.03,0.18,2.4,2.6
Tolo Harbour and Channel,TM2,22.4124,114.218083,7/12/2017,1,Bottom Water,3.3,0.023,16,8.6,14,0.003,3.2,27.3,0.03,0.26,1.9,2.9
Tolo Harbour and Channel,TM2,22.4124,114.218083,8/18/2017,1,Surface Water,2.8,0.006,4.9,7.2,12,0.006,1.5,31.7,0.01,0.35,0.8,1.8
Tolo Harbour and Channel,TM2,22.4124,114.218083,8/18/2017,1,Bottom Water,2.6,0.024,5.7,8.1,23,0.017,2.5,32.4,0.03,0.29,0.8,2.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,9/20/2017,1,Surface Water,2,0.014,1.7,6.3,90,0.004,1,29.8,0.02,0.85,0.9,2.6
Tolo Harbour and Channel,TM2,22.4124,114.218083,9/20/2017,1,Bottom Water,1.9,0.012,1.8,7.4,31,0.004,1.2,30.2,0.02,0.5,1.1,3.2
Tolo Harbour and Channel,TM2,22.4124,114.218083,10/19/2017,1,Surface Water,1.6,0.1,2.7,6.4,2900,0.014,2.3,23.1,0.34,0.53,0.9,1.7
Tolo Harbour and Channel,TM2,22.4124,114.218083,10/19/2017,1,Bottom Water,1.4,0.08,2.3,5.6,180,0.005,1.3,29.2,0.16,0.33,0.9,1.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/21/2015,1,Surface Water,1.3,0.1,3.3,5.7,11000,0.018,1.1,22,0.3,0.61,8.8,2
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/21/2015,1,Middle Water,1,0.099,3.1,5.8,2900,0.007,0,25.4,0.19,0.44,6.3,1.1
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/21/2015,1,Bottom Water,0.8,0.088,2.6,5.2,1000,0.005,1.1,30.2,0.13,0.3,4,0.7
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/25/2015,1,Surface Water,2.9,0.079,19,6.6,2800,0.007,4.7,26.3,0.27,0.67,2.8,1
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/25/2015,1,Middle Water,2.6,0.055,15,6.8,5000,0.005,3.6,28.1,0.22,0.57,2.3,0
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/25/2015,1,Bottom Water,1.7,0.033,7.9,6.5,800,0.003,2.9,29.3,0.17,0.43,2.2,0
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/8/2015,1,Surface Water,1.6,0.032,1.9,6.3,62,0.006,0.4,32.2,0.04,0.35,2.7,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/8/2015,1,Middle Water,1.1,0.029,2.3,6.9,2,0.006,1.7,32.2,0.03,0.19,2.6,0.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/8/2015,1,Bottom Water,1.1,0.051,1.5,5.9,3,0.007,1.3,32.4,0.06,0.24,2.7,3
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/12/2015,1,Surface Water,2.9,0.031,8.3,5.2,100,0.004,0.5,32.1,0.04,0.33,3,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/12/2015,1,Middle Water,2.1,0.022,4.4,8,360,0.004,0,32.4,0.03,0.31,2.7,1
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/12/2015,1,Bottom Water,1.6,0.023,3.7,6,53,0.006,0.5,33,0.03,0.28,2.6,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,9/18/2015,1,Surface Water,1.3,0.023,4,7.1,0,0.004,1.9,31.9,0.03,0.26,2.7,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,9/18/2015,1,Middle Water,0.8,0.03,1.4,6.9,3,0.005,0.5,32.2,0.03,0.35,2.6,0.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,9/18/2015,1,Bottom Water,0.8,0.026,3.2,5,0,0.006,2.3,32.9,0.03,0.3,2.5,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,10/9/2015,1,Surface Water,1.7,0.043,19,7.9,5700,0.002,1.9,28.2,0.1,0.63,3.4,2.5
Tolo Harbour and Channel,TM3,22.447617,114.203017,10/9/2015,1,Middle Water,0.6,0.15,5.2,5.9,80,0.008,1.6,32,0.16,0.57,3.1,1.2
Tolo Harbour and Channel,TM3,22.447617,114.203017,10/9/2015,1,Bottom Water,0.6,0.13,2.9,4,140,0.009,0.8,32.5,0.15,0.54,3.3,3.5
Tolo Harbour and Channel,TM3,22.447617,114.203017,11/19/2015,1,Surface Water,1.4,0.052,4.1,7.6,13,0.004,1.4,31.5,0.1,0.53,3.2,0.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,11/19/2015,1,Middle Water,1.7,0.033,11,8.7,39,0.005,1.4,32,0.06,0.59,2.7,1.3
Tolo Harbour and Channel,TM3,22.447617,114.203017,11/19/2015,1,Bottom Water,1.2,0.03,16,4.3,2,0.007,2.1,32.7,0.1,0.45,3.3,1
Tolo Harbour and Channel,TM3,22.447617,114.203017,12/18/2015,1,Surface Water,2,0.045,13,7.3,340,0.004,1.7,32.1,0.06,0.67,4.2,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,12/18/2015,1,Middle Water,2.2,0.048,13,8,370,0.005,1.6,32.1,0.07,0.54,3.9,3.1
Tolo Harbour and Channel,TM3,22.447617,114.203017,12/18/2015,1,Bottom Water,2.2,0.042,13,7.9,250,0.004,1.5,32.2,0.06,0.83,4,2.1
Tolo Harbour and Channel,TM3,22.447617,114.203017,1/14/2016,1,Surface Water,5,0.12,21,9.2,100,0.01,0.9,29.8,0.12,0.5,3.3,2.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,1/14/2016,1,Middle Water,6.8,0.19,35,11.7,64,0.009,3.2,30.2,0.2,0.66,3.5,4
Tolo Harbour and Channel,TM3,22.447617,114.203017,1/14/2016,1,Bottom Water,2.2,0.082,14,6.3,17,0.005,0.9,31.7,0.09,0.33,2.8,3.3
Tolo Harbour and Channel,TM3,22.447617,114.203017,2/19/2016,1,Surface Water,3.1,0.042,12,8.7,31,0.004,0.6,29.2,0.05,0.66,3,2.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,2/19/2016,1,Middle Water,1.3,0.054,7.4,10.6,15,0.003,2.5,29.5,0.09,0.61,2.8,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,2/19/2016,1,Bottom Water,1,0.059,4.1,5.3,1,0.003,0.8,30.8,0.1,0.66,3.4,1
Tolo Harbour and Channel,TM3,22.447617,114.203017,3/18/2016,1,Surface Water,0.7,0.1,0.8,6.6,9,0.004,0,30.1,0.16,0.41,0.7,0
Tolo Harbour and Channel,TM3,22.447617,114.203017,3/18/2016,1,Middle Water,0.7,0.1,0.6,5.7,21,0.005,0.2,30,0.16,0.47,0.6,0.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,3/18/2016,1,Bottom Water,0.6,0.086,3.3,5,4,0.005,0,30.1,0.13,0.32,1.3,1.1
Tolo Harbour and Channel,TM3,22.447617,114.203017,4/14/2016,1,Surface Water,5.9,0.31,29,6.4,7400,0.004,5,25.1,0.7,0.98,3,4.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,4/14/2016,1,Middle Water,2.4,0.077,4.8,6.6,330,0,2.7,29.9,0.09,0.39,0.4,1.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,4/14/2016,1,Bottom Water,1.4,0.06,1,5.2,100,0,0.5,30.9,0.07,0.28,0.3,0.9
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/11/2016,1,Surface Water,2.7,0.19,7.6,7.4,12000,0.039,2.6,22.8,0.5,0.82,6.8,2.9
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/11/2016,1,Middle Water,2.4,0.082,11,7.3,580,0.003,2.5,29,0.11,0.55,1.5,1
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/11/2016,1,Bottom Water,1.4,0.062,6,5.5,220,0.006,0.3,30.5,0.08,1.01,0.9,1.4
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/13/2016,1,Surface Water,1.8,0.055,4.8,7,1200,0.004,2.7,27.5,0.09,0.23,1.3,0.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/13/2016,1,Middle Water,1.2,0.059,2.7,5.4,52,0.004,0.5,27.5,0.07,0.45,0.8,1
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/13/2016,1,Bottom Water,0.7,0.059,0.6,4.6,14,0.007,0.5,27.5,0.07,0.39,0.9,0
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/18/2016,1,Surface Water,2.2,0.034,8.6,5.7,84,0,2,30.7,0.04,0.62,3.4,2.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/18/2016,1,Middle Water,1.8,0.019,6.6,5.8,160,0.002,1.7,31.6,0.02,0.67,1.6,2.1
